Exp,Pedi,Repl,plantHt,earHt,Year,Month,Day,tempMin,tempMax,dewMin,dewMax,humidMin,humidMax,solarMin,solarMax,rainMin,rainMax,windSpdMin,windSpdMax,windDirMin,windDirMax,windGustMin,windGustMax,soilTempMin,soilTempMax,soilMoistMin,soilMoistMax
GAI1,2369,1,165,90,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,2369,2,130,60,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,740,1,145,65,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,740,2,125,60,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,A619,1,85,15,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,A619,2,95,22,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,A632,1,145,70,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,A632,2,120,60,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,A634,1,120,60,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,A634,2,110,45,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,B14,1,150,30,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,B14,2,115,40,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,B37,1,110,45,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,B37,2,115,45,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,B73,1,145,50,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,B73,2,135,50,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,C103,1,130,60,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,C103,2,130,60,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,CM105,1,115,55,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
GAI1,CM105,2,115,45,2015,4,22,23.7,28.4,8.1,9.7,28.9,39.8,215,1077,0,0,0.28,2.22,1,343,1.67,4.72,19.2,27,5.4,5.7
