gear,vs,hp,carb,disp,drat
4,0,110,4,160,3.9
4,0,110,4,160,3.9
4,1,93,1,108,3.85
3,1,110,1,258,3.08
3,0,175,2,360,3.15
3,1,105,1,225,2.76
3,0,245,4,360,3.21
4,1,62,2,146.7,3.69
4,1,95,2,140.8,3.92
4,1,123,4,167.6,3.92
4,1,123,4,167.6,3.92
3,0,180,3,275.8,3.07
3,0,180,3,275.8,3.07
3,0,180,3,275.8,3.07
3,0,205,4,472,2.93
3,0,215,4,460,3
3,0,230,4,440,3.23
4,1,66,1,78.7,4.08
4,1,52,2,75.7,4.93
4,1,65,1,71.1,4.22
3,1,97,1,120.1,3.7
3,0,150,2,318,2.76
3,0,150,2,304,3.15
3,0,245,4,350,3.73
3,0,175,2,400,3.08
4,1,66,1,79,4.08
5,0,91,2,120.3,4.43
5,1,113,2,95.1,3.77
5,0,264,4,351,4.22
5,0,175,6,145,3.62
5,0,335,8,301,3.54
4,1,109,2,121,4.11
