hp,carb,qsec,cyl,gear,drat
110,4,16.46,6,4,3.9
110,4,17.02,6,4,3.9
93,1,18.61,4,4,3.85
110,1,19.44,6,3,3.08
175,2,17.02,8,3,3.15
105,1,20.22,6,3,2.76
245,4,15.84,8,3,3.21
62,2,20,4,4,3.69
95,2,22.9,4,4,3.92
123,4,18.3,6,4,3.92
123,4,18.9,6,4,3.92
180,3,17.4,8,3,3.07
180,3,17.6,8,3,3.07
180,3,18,8,3,3.07
205,4,17.98,8,3,2.93
215,4,17.82,8,3,3
230,4,17.42,8,3,3.23
66,1,19.47,4,4,4.08
52,2,18.52,4,4,4.93
65,1,19.9,4,4,4.22
97,1,20.01,4,3,3.7
150,2,16.87,8,3,2.76
150,2,17.3,8,3,3.15
245,4,15.41,8,3,3.73
175,2,17.05,8,3,3.08
66,1,18.9,4,4,4.08
91,2,16.7,4,5,4.43
113,2,16.9,4,5,3.77
264,4,14.5,8,5,4.22
175,6,15.5,6,5,3.62
335,8,14.6,8,5,3.54
109,2,18.6,4,4,4.11
