hp,cyl,mpg,wt,carb,qsec
110,6,21,2.62,4,16.46
110,6,21,2.875,4,17.02
93,4,22.8,2.32,1,18.61
110,6,21.4,3.215,1,19.44
175,8,18.7,3.44,2,17.02
105,6,18.1,3.46,1,20.22
245,8,14.3,3.57,4,15.84
62,4,24.4,3.19,2,20
95,4,22.8,3.15,2,22.9
123,6,19.2,3.44,4,18.3
123,6,17.8,3.44,4,18.9
180,8,16.4,4.07,3,17.4
180,8,17.3,3.73,3,17.6
180,8,15.2,3.78,3,18
205,8,10.4,5.25,4,17.98
215,8,10.4,5.424,4,17.82
230,8,14.7,5.345,4,17.42
66,4,32.4,2.2,1,19.47
52,4,30.4,1.615,2,18.52
65,4,33.9,1.835,1,19.9
97,4,21.5,2.465,1,20.01
150,8,15.5,3.52,2,16.87
150,8,15.2,3.435,2,17.3
245,8,13.3,3.84,4,15.41
175,8,19.2,3.845,2,17.05
66,4,27.3,1.935,1,18.9
91,4,26,2.14,2,16.7
113,4,30.4,1.513,2,16.9
264,8,15.8,3.17,4,14.5
175,6,19.7,2.77,6,15.5
335,8,15,3.57,8,14.6
109,4,21.4,2.78,2,18.6
