wt,qsec,am,drat,carb,hp
2.62,16.46,1,3.9,4,110
2.875,17.02,1,3.9,4,110
2.32,18.61,1,3.85,1,93
3.215,19.44,0,3.08,1,110
3.44,17.02,0,3.15,2,175
3.46,20.22,0,2.76,1,105
3.57,15.84,0,3.21,4,245
3.19,20,0,3.69,2,62
3.15,22.9,0,3.92,2,95
3.44,18.3,0,3.92,4,123
3.44,18.9,0,3.92,4,123
4.07,17.4,0,3.07,3,180
3.73,17.6,0,3.07,3,180
3.78,18,0,3.07,3,180
5.25,17.98,0,2.93,4,205
5.424,17.82,0,3,4,215
5.345,17.42,0,3.23,4,230
2.2,19.47,1,4.08,1,66
1.615,18.52,1,4.93,2,52
1.835,19.9,1,4.22,1,65
2.465,20.01,0,3.7,1,97
3.52,16.87,0,2.76,2,150
3.435,17.3,0,3.15,2,150
3.84,15.41,0,3.73,4,245
3.845,17.05,0,3.08,2,175
1.935,18.9,1,4.08,1,66
2.14,16.7,1,4.43,2,91
1.513,16.9,1,3.77,2,113
3.17,14.5,1,4.22,4,264
2.77,15.5,1,3.62,6,175
3.57,14.6,1,3.54,8,335
2.78,18.6,1,4.11,2,109
