vs,gear,qsec,mpg,cyl,carb
0,4,16.46,21,6,4
0,4,17.02,21,6,4
1,4,18.61,22.8,4,1
1,3,19.44,21.4,6,1
0,3,17.02,18.7,8,2
1,3,20.22,18.1,6,1
0,3,15.84,14.3,8,4
1,4,20,24.4,4,2
1,4,22.9,22.8,4,2
1,4,18.3,19.2,6,4
1,4,18.9,17.8,6,4
0,3,17.4,16.4,8,3
0,3,17.6,17.3,8,3
0,3,18,15.2,8,3
0,3,17.98,10.4,8,4
0,3,17.82,10.4,8,4
0,3,17.42,14.7,8,4
1,4,19.47,32.4,4,1
1,4,18.52,30.4,4,2
1,4,19.9,33.9,4,1
1,3,20.01,21.5,4,1
0,3,16.87,15.5,8,2
0,3,17.3,15.2,8,2
0,3,15.41,13.3,8,4
0,3,17.05,19.2,8,2
1,4,18.9,27.3,4,1
0,5,16.7,26,4,2
1,5,16.9,30.4,4,2
0,5,14.5,15.8,8,4
0,5,15.5,19.7,6,6
0,5,14.6,15,8,8
1,4,18.6,21.4,4,2
