vs,drat,mpg,carb,am,qsec
0,3.9,21,4,1,16.46
0,3.9,21,4,1,17.02
1,3.85,22.8,1,1,18.61
1,3.08,21.4,1,0,19.44
0,3.15,18.7,2,0,17.02
1,2.76,18.1,1,0,20.22
0,3.21,14.3,4,0,15.84
1,3.69,24.4,2,0,20
1,3.92,22.8,2,0,22.9
1,3.92,19.2,4,0,18.3
1,3.92,17.8,4,0,18.9
0,3.07,16.4,3,0,17.4
0,3.07,17.3,3,0,17.6
0,3.07,15.2,3,0,18
0,2.93,10.4,4,0,17.98
0,3,10.4,4,0,17.82
0,3.23,14.7,4,0,17.42
1,4.08,32.4,1,1,19.47
1,4.93,30.4,2,1,18.52
1,4.22,33.9,1,1,19.9
1,3.7,21.5,1,0,20.01
0,2.76,15.5,2,0,16.87
0,3.15,15.2,2,0,17.3
0,3.73,13.3,4,0,15.41
0,3.08,19.2,2,0,17.05
1,4.08,27.3,1,1,18.9
0,4.43,26,2,1,16.7
1,3.77,30.4,2,1,16.9
0,4.22,15.8,4,1,14.5
0,3.62,19.7,6,1,15.5
0,3.54,15,8,1,14.6
1,4.11,21.4,2,1,18.6
