vs,drat,carb,disp,am,gear
0,3.9,4,160,1,4
0,3.9,4,160,1,4
1,3.85,1,108,1,4
1,3.08,1,258,0,3
0,3.15,2,360,0,3
1,2.76,1,225,0,3
0,3.21,4,360,0,3
1,3.69,2,146.7,0,4
1,3.92,2,140.8,0,4
1,3.92,4,167.6,0,4
1,3.92,4,167.6,0,4
0,3.07,3,275.8,0,3
0,3.07,3,275.8,0,3
0,3.07,3,275.8,0,3
0,2.93,4,472,0,3
0,3,4,460,0,3
0,3.23,4,440,0,3
1,4.08,1,78.7,1,4
1,4.93,2,75.7,1,4
1,4.22,1,71.1,1,4
1,3.7,1,120.1,0,3
0,2.76,2,318,0,3
0,3.15,2,304,0,3
0,3.73,4,350,0,3
0,3.08,2,400,0,3
1,4.08,1,79,1,4
0,4.43,2,120.3,1,5
1,3.77,2,95.1,1,5
0,4.22,4,351,1,5
0,3.62,6,145,1,5
0,3.54,8,301,1,5
1,4.11,2,121,1,4
