qsec,am,mpg,carb,drat,vs
16.46,1,21,4,3.9,0
17.02,1,21,4,3.9,0
18.61,1,22.8,1,3.85,1
19.44,0,21.4,1,3.08,1
17.02,0,18.7,2,3.15,0
20.22,0,18.1,1,2.76,1
15.84,0,14.3,4,3.21,0
20,0,24.4,2,3.69,1
22.9,0,22.8,2,3.92,1
18.3,0,19.2,4,3.92,1
18.9,0,17.8,4,3.92,1
17.4,0,16.4,3,3.07,0
17.6,0,17.3,3,3.07,0
18,0,15.2,3,3.07,0
17.98,0,10.4,4,2.93,0
17.82,0,10.4,4,3,0
17.42,0,14.7,4,3.23,0
19.47,1,32.4,1,4.08,1
18.52,1,30.4,2,4.93,1
19.9,1,33.9,1,4.22,1
20.01,0,21.5,1,3.7,1
16.87,0,15.5,2,2.76,0
17.3,0,15.2,2,3.15,0
15.41,0,13.3,4,3.73,0
17.05,0,19.2,2,3.08,0
18.9,1,27.3,1,4.08,1
16.7,1,26,2,4.43,0
16.9,1,30.4,2,3.77,1
14.5,1,15.8,4,4.22,0
15.5,1,19.7,6,3.62,0
14.6,1,15,8,3.54,0
18.6,1,21.4,2,4.11,1
