disp,cyl,drat,gear,mpg,am
160,6,3.9,4,21,1
160,6,3.9,4,21,1
108,4,3.85,4,22.8,1
258,6,3.08,3,21.4,0
360,8,3.15,3,18.7,0
225,6,2.76,3,18.1,0
360,8,3.21,3,14.3,0
146.7,4,3.69,4,24.4,0
140.8,4,3.92,4,22.8,0
167.6,6,3.92,4,19.2,0
167.6,6,3.92,4,17.8,0
275.8,8,3.07,3,16.4,0
275.8,8,3.07,3,17.3,0
275.8,8,3.07,3,15.2,0
472,8,2.93,3,10.4,0
460,8,3,3,10.4,0
440,8,3.23,3,14.7,0
78.7,4,4.08,4,32.4,1
75.7,4,4.93,4,30.4,1
71.1,4,4.22,4,33.9,1
120.1,4,3.7,3,21.5,0
318,8,2.76,3,15.5,0
304,8,3.15,3,15.2,0
350,8,3.73,3,13.3,0
400,8,3.08,3,19.2,0
79,4,4.08,4,27.3,1
120.3,4,4.43,5,26,1
95.1,4,3.77,5,30.4,1
351,8,4.22,5,15.8,1
145,6,3.62,5,19.7,1
301,8,3.54,5,15,1
121,4,4.11,4,21.4,1
