gear,vs,mpg,drat,disp,cyl
4,0,21,3.9,160,6
4,0,21,3.9,160,6
4,1,22.8,3.85,108,4
3,1,21.4,3.08,258,6
3,0,18.7,3.15,360,8
3,1,18.1,2.76,225,6
3,0,14.3,3.21,360,8
4,1,24.4,3.69,146.7,4
4,1,22.8,3.92,140.8,4
4,1,19.2,3.92,167.6,6
4,1,17.8,3.92,167.6,6
3,0,16.4,3.07,275.8,8
3,0,17.3,3.07,275.8,8
3,0,15.2,3.07,275.8,8
3,0,10.4,2.93,472,8
3,0,10.4,3,460,8
3,0,14.7,3.23,440,8
4,1,32.4,4.08,78.7,4
4,1,30.4,4.93,75.7,4
4,1,33.9,4.22,71.1,4
3,1,21.5,3.7,120.1,4
3,0,15.5,2.76,318,8
3,0,15.2,3.15,304,8
3,0,13.3,3.73,350,8
3,0,19.2,3.08,400,8
4,1,27.3,4.08,79,4
5,0,26,4.43,120.3,4
5,1,30.4,3.77,95.1,4
5,0,15.8,4.22,351,8
5,0,19.7,3.62,145,6
5,0,15,3.54,301,8
4,1,21.4,4.11,121,4
