hp,vs,mpg,cyl,qsec,am
110,0,21,6,16.46,1
110,0,21,6,17.02,1
93,1,22.8,4,18.61,1
110,1,21.4,6,19.44,0
175,0,18.7,8,17.02,0
105,1,18.1,6,20.22,0
245,0,14.3,8,15.84,0
62,1,24.4,4,20,0
95,1,22.8,4,22.9,0
123,1,19.2,6,18.3,0
123,1,17.8,6,18.9,0
180,0,16.4,8,17.4,0
180,0,17.3,8,17.6,0
180,0,15.2,8,18,0
205,0,10.4,8,17.98,0
215,0,10.4,8,17.82,0
230,0,14.7,8,17.42,0
66,1,32.4,4,19.47,1
52,1,30.4,4,18.52,1
65,1,33.9,4,19.9,1
97,1,21.5,4,20.01,0
150,0,15.5,8,16.87,0
150,0,15.2,8,17.3,0
245,0,13.3,8,15.41,0
175,0,19.2,8,17.05,0
66,1,27.3,4,18.9,1
91,0,26,4,16.7,1
113,1,30.4,4,16.9,1
264,0,15.8,8,14.5,1
175,0,19.7,6,15.5,1
335,0,15,8,14.6,1
109,1,21.4,4,18.6,1
