qsec,disp,gear,carb,hp,mpg
16.46,160,4,4,110,21
17.02,160,4,4,110,21
18.61,108,4,1,93,22.8
19.44,258,3,1,110,21.4
17.02,360,3,2,175,18.7
20.22,225,3,1,105,18.1
15.84,360,3,4,245,14.3
20,146.7,4,2,62,24.4
22.9,140.8,4,2,95,22.8
18.3,167.6,4,4,123,19.2
18.9,167.6,4,4,123,17.8
17.4,275.8,3,3,180,16.4
17.6,275.8,3,3,180,17.3
18,275.8,3,3,180,15.2
17.98,472,3,4,205,10.4
17.82,460,3,4,215,10.4
17.42,440,3,4,230,14.7
19.47,78.7,4,1,66,32.4
18.52,75.7,4,2,52,30.4
19.9,71.1,4,1,65,33.9
20.01,120.1,3,1,97,21.5
16.87,318,3,2,150,15.5
17.3,304,3,2,150,15.2
15.41,350,3,4,245,13.3
17.05,400,3,2,175,19.2
18.9,79,4,1,66,27.3
16.7,120.3,5,2,91,26
16.9,95.1,5,2,113,30.4
14.5,351,5,4,264,15.8
15.5,145,5,6,175,19.7
14.6,301,5,8,335,15
18.6,121,4,2,109,21.4
