carb,vs,gear,cyl,hp,drat
4,0,4,6,110,3.9
4,0,4,6,110,3.9
1,1,4,4,93,3.85
1,1,3,6,110,3.08
2,0,3,8,175,3.15
1,1,3,6,105,2.76
4,0,3,8,245,3.21
2,1,4,4,62,3.69
2,1,4,4,95,3.92
4,1,4,6,123,3.92
4,1,4,6,123,3.92
3,0,3,8,180,3.07
3,0,3,8,180,3.07
3,0,3,8,180,3.07
4,0,3,8,205,2.93
4,0,3,8,215,3
4,0,3,8,230,3.23
1,1,4,4,66,4.08
2,1,4,4,52,4.93
1,1,4,4,65,4.22
1,1,3,4,97,3.7
2,0,3,8,150,2.76
2,0,3,8,150,3.15
4,0,3,8,245,3.73
2,0,3,8,175,3.08
1,1,4,4,66,4.08
2,0,5,4,91,4.43
2,1,5,4,113,3.77
4,0,5,8,264,4.22
6,0,5,6,175,3.62
8,0,5,8,335,3.54
2,1,4,4,109,4.11
