vs,cyl,am,hp,disp,mpg
0,6,1,110,160,21
0,6,1,110,160,21
1,4,1,93,108,22.8
1,6,0,110,258,21.4
0,8,0,175,360,18.7
1,6,0,105,225,18.1
0,8,0,245,360,14.3
1,4,0,62,146.7,24.4
1,4,0,95,140.8,22.8
1,6,0,123,167.6,19.2
1,6,0,123,167.6,17.8
0,8,0,180,275.8,16.4
0,8,0,180,275.8,17.3
0,8,0,180,275.8,15.2
0,8,0,205,472,10.4
0,8,0,215,460,10.4
0,8,0,230,440,14.7
1,4,1,66,78.7,32.4
1,4,1,52,75.7,30.4
1,4,1,65,71.1,33.9
1,4,0,97,120.1,21.5
0,8,0,150,318,15.5
0,8,0,150,304,15.2
0,8,0,245,350,13.3
0,8,0,175,400,19.2
1,4,1,66,79,27.3
0,4,1,91,120.3,26
1,4,1,113,95.1,30.4
0,8,1,264,351,15.8
0,6,1,175,145,19.7
0,8,1,335,301,15
1,4,1,109,121,21.4
