hp,wt,cyl,carb,am,qsec
110,2.62,6,4,1,16.46
110,2.875,6,4,1,17.02
93,2.32,4,1,1,18.61
110,3.215,6,1,0,19.44
175,3.44,8,2,0,17.02
105,3.46,6,1,0,20.22
245,3.57,8,4,0,15.84
62,3.19,4,2,0,20
95,3.15,4,2,0,22.9
123,3.44,6,4,0,18.3
123,3.44,6,4,0,18.9
180,4.07,8,3,0,17.4
180,3.73,8,3,0,17.6
180,3.78,8,3,0,18
205,5.25,8,4,0,17.98
215,5.424,8,4,0,17.82
230,5.345,8,4,0,17.42
66,2.2,4,1,1,19.47
52,1.615,4,2,1,18.52
65,1.835,4,1,1,19.9
97,2.465,4,1,0,20.01
150,3.52,8,2,0,16.87
150,3.435,8,2,0,17.3
245,3.84,8,4,0,15.41
175,3.845,8,2,0,17.05
66,1.935,4,1,1,18.9
91,2.14,4,2,1,16.7
113,1.513,4,2,1,16.9
264,3.17,8,4,1,14.5
175,2.77,6,6,1,15.5
335,3.57,8,8,1,14.6
109,2.78,4,2,1,18.6
