vs,mpg,hp,wt,disp,carb
0,21,110,2.62,160,4
0,21,110,2.875,160,4
1,22.8,93,2.32,108,1
1,21.4,110,3.215,258,1
0,18.7,175,3.44,360,2
1,18.1,105,3.46,225,1
0,14.3,245,3.57,360,4
1,24.4,62,3.19,146.7,2
1,22.8,95,3.15,140.8,2
1,19.2,123,3.44,167.6,4
1,17.8,123,3.44,167.6,4
0,16.4,180,4.07,275.8,3
0,17.3,180,3.73,275.8,3
0,15.2,180,3.78,275.8,3
0,10.4,205,5.25,472,4
0,10.4,215,5.424,460,4
0,14.7,230,5.345,440,4
1,32.4,66,2.2,78.7,1
1,30.4,52,1.615,75.7,2
1,33.9,65,1.835,71.1,1
1,21.5,97,2.465,120.1,1
0,15.5,150,3.52,318,2
0,15.2,150,3.435,304,2
0,13.3,245,3.84,350,4
0,19.2,175,3.845,400,2
1,27.3,66,1.935,79,1
0,26,91,2.14,120.3,2
1,30.4,113,1.513,95.1,2
0,15.8,264,3.17,351,4
0,19.7,175,2.77,145,6
0,15,335,3.57,301,8
1,21.4,109,2.78,121,2
