carb,gear,hp,am,wt,vs
4,4,110,1,2.62,0
4,4,110,1,2.875,0
1,4,93,1,2.32,1
1,3,110,0,3.215,1
2,3,175,0,3.44,0
1,3,105,0,3.46,1
4,3,245,0,3.57,0
2,4,62,0,3.19,1
2,4,95,0,3.15,1
4,4,123,0,3.44,1
4,4,123,0,3.44,1
3,3,180,0,4.07,0
3,3,180,0,3.73,0
3,3,180,0,3.78,0
4,3,205,0,5.25,0
4,3,215,0,5.424,0
4,3,230,0,5.345,0
1,4,66,1,2.2,1
2,4,52,1,1.615,1
1,4,65,1,1.835,1
1,3,97,0,2.465,1
2,3,150,0,3.52,0
2,3,150,0,3.435,0
4,3,245,0,3.84,0
2,3,175,0,3.845,0
1,4,66,1,1.935,1
2,5,91,1,2.14,0
2,5,113,1,1.513,1
4,5,264,1,3.17,0
6,5,175,1,2.77,0
8,5,335,1,3.57,0
2,4,109,1,2.78,1
