hp,carb,gear,am,wt,disp
110,4,4,1,2.62,160
110,4,4,1,2.875,160
93,1,4,1,2.32,108
110,1,3,0,3.215,258
175,2,3,0,3.44,360
105,1,3,0,3.46,225
245,4,3,0,3.57,360
62,2,4,0,3.19,146.7
95,2,4,0,3.15,140.8
123,4,4,0,3.44,167.6
123,4,4,0,3.44,167.6
180,3,3,0,4.07,275.8
180,3,3,0,3.73,275.8
180,3,3,0,3.78,275.8
205,4,3,0,5.25,472
215,4,3,0,5.424,460
230,4,3,0,5.345,440
66,1,4,1,2.2,78.7
52,2,4,1,1.615,75.7
65,1,4,1,1.835,71.1
97,1,3,0,2.465,120.1
150,2,3,0,3.52,318
150,2,3,0,3.435,304
245,4,3,0,3.84,350
175,2,3,0,3.845,400
66,1,4,1,1.935,79
91,2,5,1,2.14,120.3
113,2,5,1,1.513,95.1
264,4,5,1,3.17,351
175,6,5,1,2.77,145
335,8,5,1,3.57,301
109,2,4,1,2.78,121
