hp,gear,mpg,carb,cyl,qsec
110,4,21,4,6,16.46
110,4,21,4,6,17.02
93,4,22.8,1,4,18.61
110,3,21.4,1,6,19.44
175,3,18.7,2,8,17.02
105,3,18.1,1,6,20.22
245,3,14.3,4,8,15.84
62,4,24.4,2,4,20
95,4,22.8,2,4,22.9
123,4,19.2,4,6,18.3
123,4,17.8,4,6,18.9
180,3,16.4,3,8,17.4
180,3,17.3,3,8,17.6
180,3,15.2,3,8,18
205,3,10.4,4,8,17.98
215,3,10.4,4,8,17.82
230,3,14.7,4,8,17.42
66,4,32.4,1,4,19.47
52,4,30.4,2,4,18.52
65,4,33.9,1,4,19.9
97,3,21.5,1,4,20.01
150,3,15.5,2,8,16.87
150,3,15.2,2,8,17.3
245,3,13.3,4,8,15.41
175,3,19.2,2,8,17.05
66,4,27.3,1,4,18.9
91,5,26,2,4,16.7
113,5,30.4,2,4,16.9
264,5,15.8,4,8,14.5
175,5,19.7,6,6,15.5
335,5,15,8,8,14.6
109,4,21.4,2,4,18.6
