qsec,vs,mpg,hp,drat,wt
16.46,0,21,110,3.9,2.62
17.02,0,21,110,3.9,2.875
18.61,1,22.8,93,3.85,2.32
19.44,1,21.4,110,3.08,3.215
17.02,0,18.7,175,3.15,3.44
20.22,1,18.1,105,2.76,3.46
15.84,0,14.3,245,3.21,3.57
20,1,24.4,62,3.69,3.19
22.9,1,22.8,95,3.92,3.15
18.3,1,19.2,123,3.92,3.44
18.9,1,17.8,123,3.92,3.44
17.4,0,16.4,180,3.07,4.07
17.6,0,17.3,180,3.07,3.73
18,0,15.2,180,3.07,3.78
17.98,0,10.4,205,2.93,5.25
17.82,0,10.4,215,3,5.424
17.42,0,14.7,230,3.23,5.345
19.47,1,32.4,66,4.08,2.2
18.52,1,30.4,52,4.93,1.615
19.9,1,33.9,65,4.22,1.835
20.01,1,21.5,97,3.7,2.465
16.87,0,15.5,150,2.76,3.52
17.3,0,15.2,150,3.15,3.435
15.41,0,13.3,245,3.73,3.84
17.05,0,19.2,175,3.08,3.845
18.9,1,27.3,66,4.08,1.935
16.7,0,26,91,4.43,2.14
16.9,1,30.4,113,3.77,1.513
14.5,0,15.8,264,4.22,3.17
15.5,0,19.7,175,3.62,2.77
14.6,0,15,335,3.54,3.57
18.6,1,21.4,109,4.11,2.78
