cyl,drat,gear,vs,wt,am
6,3.9,4,0,2.62,1
6,3.9,4,0,2.875,1
4,3.85,4,1,2.32,1
6,3.08,3,1,3.215,0
8,3.15,3,0,3.44,0
6,2.76,3,1,3.46,0
8,3.21,3,0,3.57,0
4,3.69,4,1,3.19,0
4,3.92,4,1,3.15,0
6,3.92,4,1,3.44,0
6,3.92,4,1,3.44,0
8,3.07,3,0,4.07,0
8,3.07,3,0,3.73,0
8,3.07,3,0,3.78,0
8,2.93,3,0,5.25,0
8,3,3,0,5.424,0
8,3.23,3,0,5.345,0
4,4.08,4,1,2.2,1
4,4.93,4,1,1.615,1
4,4.22,4,1,1.835,1
4,3.7,3,1,2.465,0
8,2.76,3,0,3.52,0
8,3.15,3,0,3.435,0
8,3.73,3,0,3.84,0
8,3.08,3,0,3.845,0
4,4.08,4,1,1.935,1
4,4.43,5,0,2.14,1
4,3.77,5,1,1.513,1
8,4.22,5,0,3.17,1
6,3.62,5,0,2.77,1
8,3.54,5,0,3.57,1
4,4.11,4,1,2.78,1
