qsec,mpg,vs,disp,drat,gear
16.46,21,0,160,3.9,4
17.02,21,0,160,3.9,4
18.61,22.8,1,108,3.85,4
19.44,21.4,1,258,3.08,3
17.02,18.7,0,360,3.15,3
20.22,18.1,1,225,2.76,3
15.84,14.3,0,360,3.21,3
20,24.4,1,146.7,3.69,4
22.9,22.8,1,140.8,3.92,4
18.3,19.2,1,167.6,3.92,4
18.9,17.8,1,167.6,3.92,4
17.4,16.4,0,275.8,3.07,3
17.6,17.3,0,275.8,3.07,3
18,15.2,0,275.8,3.07,3
17.98,10.4,0,472,2.93,3
17.82,10.4,0,460,3,3
17.42,14.7,0,440,3.23,3
19.47,32.4,1,78.7,4.08,4
18.52,30.4,1,75.7,4.93,4
19.9,33.9,1,71.1,4.22,4
20.01,21.5,1,120.1,3.7,3
16.87,15.5,0,318,2.76,3
17.3,15.2,0,304,3.15,3
15.41,13.3,0,350,3.73,3
17.05,19.2,0,400,3.08,3
18.9,27.3,1,79,4.08,4
16.7,26,0,120.3,4.43,5
16.9,30.4,1,95.1,3.77,5
14.5,15.8,0,351,4.22,5
15.5,19.7,0,145,3.62,5
14.6,15,0,301,3.54,5
18.6,21.4,1,121,4.11,4
