gear,cyl,carb,mpg,am,qsec
4,6,4,21,1,16.46
4,6,4,21,1,17.02
4,4,1,22.8,1,18.61
3,6,1,21.4,0,19.44
3,8,2,18.7,0,17.02
3,6,1,18.1,0,20.22
3,8,4,14.3,0,15.84
4,4,2,24.4,0,20
4,4,2,22.8,0,22.9
4,6,4,19.2,0,18.3
4,6,4,17.8,0,18.9
3,8,3,16.4,0,17.4
3,8,3,17.3,0,17.6
3,8,3,15.2,0,18
3,8,4,10.4,0,17.98
3,8,4,10.4,0,17.82
3,8,4,14.7,0,17.42
4,4,1,32.4,1,19.47
4,4,2,30.4,1,18.52
4,4,1,33.9,1,19.9
3,4,1,21.5,0,20.01
3,8,2,15.5,0,16.87
3,8,2,15.2,0,17.3
3,8,4,13.3,0,15.41
3,8,2,19.2,0,17.05
4,4,1,27.3,1,18.9
5,4,2,26,1,16.7
5,4,2,30.4,1,16.9
5,8,4,15.8,1,14.5
5,6,6,19.7,1,15.5
5,8,8,15,1,14.6
4,4,2,21.4,1,18.6
