carb,disp,vs,am,gear,hp
4,160,0,1,4,110
4,160,0,1,4,110
1,108,1,1,4,93
1,258,1,0,3,110
2,360,0,0,3,175
1,225,1,0,3,105
4,360,0,0,3,245
2,146.7,1,0,4,62
2,140.8,1,0,4,95
4,167.6,1,0,4,123
4,167.6,1,0,4,123
3,275.8,0,0,3,180
3,275.8,0,0,3,180
3,275.8,0,0,3,180
4,472,0,0,3,205
4,460,0,0,3,215
4,440,0,0,3,230
1,78.7,1,1,4,66
2,75.7,1,1,4,52
1,71.1,1,1,4,65
1,120.1,1,0,3,97
2,318,0,0,3,150
2,304,0,0,3,150
4,350,0,0,3,245
2,400,0,0,3,175
1,79,1,1,4,66
2,120.3,0,1,5,91
2,95.1,1,1,5,113
4,351,0,1,5,264
6,145,0,1,5,175
8,301,0,1,5,335
2,121,1,1,4,109
