mpg,drat,vs,hp,disp,wt
21,3.9,0,110,160,2.62
21,3.9,0,110,160,2.875
22.8,3.85,1,93,108,2.32
21.4,3.08,1,110,258,3.215
18.7,3.15,0,175,360,3.44
18.1,2.76,1,105,225,3.46
14.3,3.21,0,245,360,3.57
24.4,3.69,1,62,146.7,3.19
22.8,3.92,1,95,140.8,3.15
19.2,3.92,1,123,167.6,3.44
17.8,3.92,1,123,167.6,3.44
16.4,3.07,0,180,275.8,4.07
17.3,3.07,0,180,275.8,3.73
15.2,3.07,0,180,275.8,3.78
10.4,2.93,0,205,472,5.25
10.4,3,0,215,460,5.424
14.7,3.23,0,230,440,5.345
32.4,4.08,1,66,78.7,2.2
30.4,4.93,1,52,75.7,1.615
33.9,4.22,1,65,71.1,1.835
21.5,3.7,1,97,120.1,2.465
15.5,2.76,0,150,318,3.52
15.2,3.15,0,150,304,3.435
13.3,3.73,0,245,350,3.84
19.2,3.08,0,175,400,3.845
27.3,4.08,1,66,79,1.935
26,4.43,0,91,120.3,2.14
30.4,3.77,1,113,95.1,1.513
15.8,4.22,0,264,351,3.17
19.7,3.62,0,175,145,2.77
15,3.54,0,335,301,3.57
21.4,4.11,1,109,121,2.78
