vs,hp,cyl,mpg,drat,qsec
0,110,6,21,3.9,16.46
0,110,6,21,3.9,17.02
1,93,4,22.8,3.85,18.61
1,110,6,21.4,3.08,19.44
0,175,8,18.7,3.15,17.02
1,105,6,18.1,2.76,20.22
0,245,8,14.3,3.21,15.84
1,62,4,24.4,3.69,20
1,95,4,22.8,3.92,22.9
1,123,6,19.2,3.92,18.3
1,123,6,17.8,3.92,18.9
0,180,8,16.4,3.07,17.4
0,180,8,17.3,3.07,17.6
0,180,8,15.2,3.07,18
0,205,8,10.4,2.93,17.98
0,215,8,10.4,3,17.82
0,230,8,14.7,3.23,17.42
1,66,4,32.4,4.08,19.47
1,52,4,30.4,4.93,18.52
1,65,4,33.9,4.22,19.9
1,97,4,21.5,3.7,20.01
0,150,8,15.5,2.76,16.87
0,150,8,15.2,3.15,17.3
0,245,8,13.3,3.73,15.41
0,175,8,19.2,3.08,17.05
1,66,4,27.3,4.08,18.9
0,91,4,26,4.43,16.7
1,113,4,30.4,3.77,16.9
0,264,8,15.8,4.22,14.5
0,175,6,19.7,3.62,15.5
0,335,8,15,3.54,14.6
1,109,4,21.4,4.11,18.6
