disp,drat,hp,carb,am,mpg
160,3.9,110,4,1,21
160,3.9,110,4,1,21
108,3.85,93,1,1,22.8
258,3.08,110,1,0,21.4
360,3.15,175,2,0,18.7
225,2.76,105,1,0,18.1
360,3.21,245,4,0,14.3
146.7,3.69,62,2,0,24.4
140.8,3.92,95,2,0,22.8
167.6,3.92,123,4,0,19.2
167.6,3.92,123,4,0,17.8
275.8,3.07,180,3,0,16.4
275.8,3.07,180,3,0,17.3
275.8,3.07,180,3,0,15.2
472,2.93,205,4,0,10.4
460,3,215,4,0,10.4
440,3.23,230,4,0,14.7
78.7,4.08,66,1,1,32.4
75.7,4.93,52,2,1,30.4
71.1,4.22,65,1,1,33.9
120.1,3.7,97,1,0,21.5
318,2.76,150,2,0,15.5
304,3.15,150,2,0,15.2
350,3.73,245,4,0,13.3
400,3.08,175,2,0,19.2
79,4.08,66,1,1,27.3
120.3,4.43,91,2,1,26
95.1,3.77,113,2,1,30.4
351,4.22,264,4,1,15.8
145,3.62,175,6,1,19.7
301,3.54,335,8,1,15
121,4.11,109,2,1,21.4
