mpg,hp,cyl,am,gear,carb
21,110,6,1,4,4
21,110,6,1,4,4
22.8,93,4,1,4,1
21.4,110,6,0,3,1
18.7,175,8,0,3,2
18.1,105,6,0,3,1
14.3,245,8,0,3,4
24.4,62,4,0,4,2
22.8,95,4,0,4,2
19.2,123,6,0,4,4
17.8,123,6,0,4,4
16.4,180,8,0,3,3
17.3,180,8,0,3,3
15.2,180,8,0,3,3
10.4,205,8,0,3,4
10.4,215,8,0,3,4
14.7,230,8,0,3,4
32.4,66,4,1,4,1
30.4,52,4,1,4,2
33.9,65,4,1,4,1
21.5,97,4,0,3,1
15.5,150,8,0,3,2
15.2,150,8,0,3,2
13.3,245,8,0,3,4
19.2,175,8,0,3,2
27.3,66,4,1,4,1
26,91,4,1,5,2
30.4,113,4,1,5,2
15.8,264,8,1,5,4
19.7,175,6,1,5,6
15,335,8,1,5,8
21.4,109,4,1,4,2
