mpg,disp,cyl,am,drat,vs
21,160,6,1,3.9,0
21,160,6,1,3.9,0
22.8,108,4,1,3.85,1
21.4,258,6,0,3.08,1
18.7,360,8,0,3.15,0
18.1,225,6,0,2.76,1
14.3,360,8,0,3.21,0
24.4,146.7,4,0,3.69,1
22.8,140.8,4,0,3.92,1
19.2,167.6,6,0,3.92,1
17.8,167.6,6,0,3.92,1
16.4,275.8,8,0,3.07,0
17.3,275.8,8,0,3.07,0
15.2,275.8,8,0,3.07,0
10.4,472,8,0,2.93,0
10.4,460,8,0,3,0
14.7,440,8,0,3.23,0
32.4,78.7,4,1,4.08,1
30.4,75.7,4,1,4.93,1
33.9,71.1,4,1,4.22,1
21.5,120.1,4,0,3.7,1
15.5,318,8,0,2.76,0
15.2,304,8,0,3.15,0
13.3,350,8,0,3.73,0
19.2,400,8,0,3.08,0
27.3,79,4,1,4.08,1
26,120.3,4,1,4.43,0
30.4,95.1,4,1,3.77,1
15.8,351,8,1,4.22,0
19.7,145,6,1,3.62,0
15,301,8,1,3.54,0
21.4,121,4,1,4.11,1
