carb,gear,am,hp,disp,vs
4,4,1,110,160,0
4,4,1,110,160,0
1,4,1,93,108,1
1,3,0,110,258,1
2,3,0,175,360,0
1,3,0,105,225,1
4,3,0,245,360,0
2,4,0,62,146.7,1
2,4,0,95,140.8,1
4,4,0,123,167.6,1
4,4,0,123,167.6,1
3,3,0,180,275.8,0
3,3,0,180,275.8,0
3,3,0,180,275.8,0
4,3,0,205,472,0
4,3,0,215,460,0
4,3,0,230,440,0
1,4,1,66,78.7,1
2,4,1,52,75.7,1
1,4,1,65,71.1,1
1,3,0,97,120.1,1
2,3,0,150,318,0
2,3,0,150,304,0
4,3,0,245,350,0
2,3,0,175,400,0
1,4,1,66,79,1
2,5,1,91,120.3,0
2,5,1,113,95.1,1
4,5,1,264,351,0
6,5,1,175,145,0
8,5,1,335,301,0
2,4,1,109,121,1
