mpg,gear,disp,carb,wt,cyl
21,4,160,4,2.62,6
21,4,160,4,2.875,6
22.8,4,108,1,2.32,4
21.4,3,258,1,3.215,6
18.7,3,360,2,3.44,8
18.1,3,225,1,3.46,6
14.3,3,360,4,3.57,8
24.4,4,146.7,2,3.19,4
22.8,4,140.8,2,3.15,4
19.2,4,167.6,4,3.44,6
17.8,4,167.6,4,3.44,6
16.4,3,275.8,3,4.07,8
17.3,3,275.8,3,3.73,8
15.2,3,275.8,3,3.78,8
10.4,3,472,4,5.25,8
10.4,3,460,4,5.424,8
14.7,3,440,4,5.345,8
32.4,4,78.7,1,2.2,4
30.4,4,75.7,2,1.615,4
33.9,4,71.1,1,1.835,4
21.5,3,120.1,1,2.465,4
15.5,3,318,2,3.52,8
15.2,3,304,2,3.435,8
13.3,3,350,4,3.84,8
19.2,3,400,2,3.845,8
27.3,4,79,1,1.935,4
26,5,120.3,2,2.14,4
30.4,5,95.1,2,1.513,4
15.8,5,351,4,3.17,8
19.7,5,145,6,2.77,6
15,5,301,8,3.57,8
21.4,4,121,2,2.78,4
