am,mpg,hp,vs,qsec,carb
1,21,110,0,16.46,4
1,21,110,0,17.02,4
1,22.8,93,1,18.61,1
0,21.4,110,1,19.44,1
0,18.7,175,0,17.02,2
0,18.1,105,1,20.22,1
0,14.3,245,0,15.84,4
0,24.4,62,1,20,2
0,22.8,95,1,22.9,2
0,19.2,123,1,18.3,4
0,17.8,123,1,18.9,4
0,16.4,180,0,17.4,3
0,17.3,180,0,17.6,3
0,15.2,180,0,18,3
0,10.4,205,0,17.98,4
0,10.4,215,0,17.82,4
0,14.7,230,0,17.42,4
1,32.4,66,1,19.47,1
1,30.4,52,1,18.52,2
1,33.9,65,1,19.9,1
0,21.5,97,1,20.01,1
0,15.5,150,0,16.87,2
0,15.2,150,0,17.3,2
0,13.3,245,0,15.41,4
0,19.2,175,0,17.05,2
1,27.3,66,1,18.9,1
1,26,91,0,16.7,2
1,30.4,113,1,16.9,2
1,15.8,264,0,14.5,4
1,19.7,175,0,15.5,6
1,15,335,0,14.6,8
1,21.4,109,1,18.6,2
