mpg,disp,carb,qsec,am,wt
21,160,4,16.46,1,2.62
21,160,4,17.02,1,2.875
22.8,108,1,18.61,1,2.32
21.4,258,1,19.44,0,3.215
18.7,360,2,17.02,0,3.44
18.1,225,1,20.22,0,3.46
14.3,360,4,15.84,0,3.57
24.4,146.7,2,20,0,3.19
22.8,140.8,2,22.9,0,3.15
19.2,167.6,4,18.3,0,3.44
17.8,167.6,4,18.9,0,3.44
16.4,275.8,3,17.4,0,4.07
17.3,275.8,3,17.6,0,3.73
15.2,275.8,3,18,0,3.78
10.4,472,4,17.98,0,5.25
10.4,460,4,17.82,0,5.424
14.7,440,4,17.42,0,5.345
32.4,78.7,1,19.47,1,2.2
30.4,75.7,2,18.52,1,1.615
33.9,71.1,1,19.9,1,1.835
21.5,120.1,1,20.01,0,2.465
15.5,318,2,16.87,0,3.52
15.2,304,2,17.3,0,3.435
13.3,350,4,15.41,0,3.84
19.2,400,2,17.05,0,3.845
27.3,79,1,18.9,1,1.935
26,120.3,2,16.7,1,2.14
30.4,95.1,2,16.9,1,1.513
15.8,351,4,14.5,1,3.17
19.7,145,6,15.5,1,2.77
15,301,8,14.6,1,3.57
21.4,121,2,18.6,1,2.78
