am,drat,qsec,vs,gear,mpg
1,3.9,16.46,0,4,21
1,3.9,17.02,0,4,21
1,3.85,18.61,1,4,22.8
0,3.08,19.44,1,3,21.4
0,3.15,17.02,0,3,18.7
0,2.76,20.22,1,3,18.1
0,3.21,15.84,0,3,14.3
0,3.69,20,1,4,24.4
0,3.92,22.9,1,4,22.8
0,3.92,18.3,1,4,19.2
0,3.92,18.9,1,4,17.8
0,3.07,17.4,0,3,16.4
0,3.07,17.6,0,3,17.3
0,3.07,18,0,3,15.2
0,2.93,17.98,0,3,10.4
0,3,17.82,0,3,10.4
0,3.23,17.42,0,3,14.7
1,4.08,19.47,1,4,32.4
1,4.93,18.52,1,4,30.4
1,4.22,19.9,1,4,33.9
0,3.7,20.01,1,3,21.5
0,2.76,16.87,0,3,15.5
0,3.15,17.3,0,3,15.2
0,3.73,15.41,0,3,13.3
0,3.08,17.05,0,3,19.2
1,4.08,18.9,1,4,27.3
1,4.43,16.7,0,5,26
1,3.77,16.9,1,5,30.4
1,4.22,14.5,0,5,15.8
1,3.62,15.5,0,5,19.7
1,3.54,14.6,0,5,15
1,4.11,18.6,1,4,21.4
