mpg,carb,qsec,hp,drat,wt
21,4,16.46,110,3.9,2.62
21,4,17.02,110,3.9,2.875
22.8,1,18.61,93,3.85,2.32
21.4,1,19.44,110,3.08,3.215
18.7,2,17.02,175,3.15,3.44
18.1,1,20.22,105,2.76,3.46
14.3,4,15.84,245,3.21,3.57
24.4,2,20,62,3.69,3.19
22.8,2,22.9,95,3.92,3.15
19.2,4,18.3,123,3.92,3.44
17.8,4,18.9,123,3.92,3.44
16.4,3,17.4,180,3.07,4.07
17.3,3,17.6,180,3.07,3.73
15.2,3,18,180,3.07,3.78
10.4,4,17.98,205,2.93,5.25
10.4,4,17.82,215,3,5.424
14.7,4,17.42,230,3.23,5.345
32.4,1,19.47,66,4.08,2.2
30.4,2,18.52,52,4.93,1.615
33.9,1,19.9,65,4.22,1.835
21.5,1,20.01,97,3.7,2.465
15.5,2,16.87,150,2.76,3.52
15.2,2,17.3,150,3.15,3.435
13.3,4,15.41,245,3.73,3.84
19.2,2,17.05,175,3.08,3.845
27.3,1,18.9,66,4.08,1.935
26,2,16.7,91,4.43,2.14
30.4,2,16.9,113,3.77,1.513
15.8,4,14.5,264,4.22,3.17
19.7,6,15.5,175,3.62,2.77
15,8,14.6,335,3.54,3.57
21.4,2,18.6,109,4.11,2.78
