disp,vs,gear,mpg,hp,am
160,0,4,21,110,1
160,0,4,21,110,1
108,1,4,22.8,93,1
258,1,3,21.4,110,0
360,0,3,18.7,175,0
225,1,3,18.1,105,0
360,0,3,14.3,245,0
146.7,1,4,24.4,62,0
140.8,1,4,22.8,95,0
167.6,1,4,19.2,123,0
167.6,1,4,17.8,123,0
275.8,0,3,16.4,180,0
275.8,0,3,17.3,180,0
275.8,0,3,15.2,180,0
472,0,3,10.4,205,0
460,0,3,10.4,215,0
440,0,3,14.7,230,0
78.7,1,4,32.4,66,1
75.7,1,4,30.4,52,1
71.1,1,4,33.9,65,1
120.1,1,3,21.5,97,0
318,0,3,15.5,150,0
304,0,3,15.2,150,0
350,0,3,13.3,245,0
400,0,3,19.2,175,0
79,1,4,27.3,66,1
120.3,0,5,26,91,1
95.1,1,5,30.4,113,1
351,0,5,15.8,264,1
145,0,5,19.7,175,1
301,0,5,15,335,1
121,1,4,21.4,109,1
