carb,disp,wt,am,qsec,mpg
4,160,2.62,1,16.46,21
4,160,2.875,1,17.02,21
1,108,2.32,1,18.61,22.8
1,258,3.215,0,19.44,21.4
2,360,3.44,0,17.02,18.7
1,225,3.46,0,20.22,18.1
4,360,3.57,0,15.84,14.3
2,146.7,3.19,0,20,24.4
2,140.8,3.15,0,22.9,22.8
4,167.6,3.44,0,18.3,19.2
4,167.6,3.44,0,18.9,17.8
3,275.8,4.07,0,17.4,16.4
3,275.8,3.73,0,17.6,17.3
3,275.8,3.78,0,18,15.2
4,472,5.25,0,17.98,10.4
4,460,5.424,0,17.82,10.4
4,440,5.345,0,17.42,14.7
1,78.7,2.2,1,19.47,32.4
2,75.7,1.615,1,18.52,30.4
1,71.1,1.835,1,19.9,33.9
1,120.1,2.465,0,20.01,21.5
2,318,3.52,0,16.87,15.5
2,304,3.435,0,17.3,15.2
4,350,3.84,0,15.41,13.3
2,400,3.845,0,17.05,19.2
1,79,1.935,1,18.9,27.3
2,120.3,2.14,1,16.7,26
2,95.1,1.513,1,16.9,30.4
4,351,3.17,1,14.5,15.8
6,145,2.77,1,15.5,19.7
8,301,3.57,1,14.6,15
2,121,2.78,1,18.6,21.4
