cyl,carb,gear,wt,qsec,vs
6,4,4,2.62,16.46,0
6,4,4,2.875,17.02,0
4,1,4,2.32,18.61,1
6,1,3,3.215,19.44,1
8,2,3,3.44,17.02,0
6,1,3,3.46,20.22,1
8,4,3,3.57,15.84,0
4,2,4,3.19,20,1
4,2,4,3.15,22.9,1
6,4,4,3.44,18.3,1
6,4,4,3.44,18.9,1
8,3,3,4.07,17.4,0
8,3,3,3.73,17.6,0
8,3,3,3.78,18,0
8,4,3,5.25,17.98,0
8,4,3,5.424,17.82,0
8,4,3,5.345,17.42,0
4,1,4,2.2,19.47,1
4,2,4,1.615,18.52,1
4,1,4,1.835,19.9,1
4,1,3,2.465,20.01,1
8,2,3,3.52,16.87,0
8,2,3,3.435,17.3,0
8,4,3,3.84,15.41,0
8,2,3,3.845,17.05,0
4,1,4,1.935,18.9,1
4,2,5,2.14,16.7,0
4,2,5,1.513,16.9,1
8,4,5,3.17,14.5,0
6,6,5,2.77,15.5,0
8,8,5,3.57,14.6,0
4,2,4,2.78,18.6,1
