vs,drat,hp,gear,qsec,mpg
0,3.9,110,4,16.46,21
0,3.9,110,4,17.02,21
1,3.85,93,4,18.61,22.8
1,3.08,110,3,19.44,21.4
0,3.15,175,3,17.02,18.7
1,2.76,105,3,20.22,18.1
0,3.21,245,3,15.84,14.3
1,3.69,62,4,20,24.4
1,3.92,95,4,22.9,22.8
1,3.92,123,4,18.3,19.2
1,3.92,123,4,18.9,17.8
0,3.07,180,3,17.4,16.4
0,3.07,180,3,17.6,17.3
0,3.07,180,3,18,15.2
0,2.93,205,3,17.98,10.4
0,3,215,3,17.82,10.4
0,3.23,230,3,17.42,14.7
1,4.08,66,4,19.47,32.4
1,4.93,52,4,18.52,30.4
1,4.22,65,4,19.9,33.9
1,3.7,97,3,20.01,21.5
0,2.76,150,3,16.87,15.5
0,3.15,150,3,17.3,15.2
0,3.73,245,3,15.41,13.3
0,3.08,175,3,17.05,19.2
1,4.08,66,4,18.9,27.3
0,4.43,91,5,16.7,26
1,3.77,113,5,16.9,30.4
0,4.22,264,5,14.5,15.8
0,3.62,175,5,15.5,19.7
0,3.54,335,5,14.6,15
1,4.11,109,4,18.6,21.4
