mpg,vs,wt,gear,disp,am
21,0,2.62,4,160,1
21,0,2.875,4,160,1
22.8,1,2.32,4,108,1
21.4,1,3.215,3,258,0
18.7,0,3.44,3,360,0
18.1,1,3.46,3,225,0
14.3,0,3.57,3,360,0
24.4,1,3.19,4,146.7,0
22.8,1,3.15,4,140.8,0
19.2,1,3.44,4,167.6,0
17.8,1,3.44,4,167.6,0
16.4,0,4.07,3,275.8,0
17.3,0,3.73,3,275.8,0
15.2,0,3.78,3,275.8,0
10.4,0,5.25,3,472,0
10.4,0,5.424,3,460,0
14.7,0,5.345,3,440,0
32.4,1,2.2,4,78.7,1
30.4,1,1.615,4,75.7,1
33.9,1,1.835,4,71.1,1
21.5,1,2.465,3,120.1,0
15.5,0,3.52,3,318,0
15.2,0,3.435,3,304,0
13.3,0,3.84,3,350,0
19.2,0,3.845,3,400,0
27.3,1,1.935,4,79,1
26,0,2.14,5,120.3,1
30.4,1,1.513,5,95.1,1
15.8,0,3.17,5,351,1
19.7,0,2.77,5,145,1
15,0,3.57,5,301,1
21.4,1,2.78,4,121,1
