drat,qsec,carb,wt,disp,hp
3.9,16.46,4,2.62,160,110
3.9,17.02,4,2.875,160,110
3.85,18.61,1,2.32,108,93
3.08,19.44,1,3.215,258,110
3.15,17.02,2,3.44,360,175
2.76,20.22,1,3.46,225,105
3.21,15.84,4,3.57,360,245
3.69,20,2,3.19,146.7,62
3.92,22.9,2,3.15,140.8,95
3.92,18.3,4,3.44,167.6,123
3.92,18.9,4,3.44,167.6,123
3.07,17.4,3,4.07,275.8,180
3.07,17.6,3,3.73,275.8,180
3.07,18,3,3.78,275.8,180
2.93,17.98,4,5.25,472,205
3,17.82,4,5.424,460,215
3.23,17.42,4,5.345,440,230
4.08,19.47,1,2.2,78.7,66
4.93,18.52,2,1.615,75.7,52
4.22,19.9,1,1.835,71.1,65
3.7,20.01,1,2.465,120.1,97
2.76,16.87,2,3.52,318,150
3.15,17.3,2,3.435,304,150
3.73,15.41,4,3.84,350,245
3.08,17.05,2,3.845,400,175
4.08,18.9,1,1.935,79,66
4.43,16.7,2,2.14,120.3,91
3.77,16.9,2,1.513,95.1,113
4.22,14.5,4,3.17,351,264
3.62,15.5,6,2.77,145,175
3.54,14.6,8,3.57,301,335
4.11,18.6,2,2.78,121,109
