cyl,gear,am,qsec,wt,vs
6,4,1,16.46,2.62,0
6,4,1,17.02,2.875,0
4,4,1,18.61,2.32,1
6,3,0,19.44,3.215,1
8,3,0,17.02,3.44,0
6,3,0,20.22,3.46,1
8,3,0,15.84,3.57,0
4,4,0,20,3.19,1
4,4,0,22.9,3.15,1
6,4,0,18.3,3.44,1
6,4,0,18.9,3.44,1
8,3,0,17.4,4.07,0
8,3,0,17.6,3.73,0
8,3,0,18,3.78,0
8,3,0,17.98,5.25,0
8,3,0,17.82,5.424,0
8,3,0,17.42,5.345,0
4,4,1,19.47,2.2,1
4,4,1,18.52,1.615,1
4,4,1,19.9,1.835,1
4,3,0,20.01,2.465,1
8,3,0,16.87,3.52,0
8,3,0,17.3,3.435,0
8,3,0,15.41,3.84,0
8,3,0,17.05,3.845,0
4,4,1,18.9,1.935,1
4,5,1,16.7,2.14,0
4,5,1,16.9,1.513,1
8,5,1,14.5,3.17,0
6,5,1,15.5,2.77,0
8,5,1,14.6,3.57,0
4,4,1,18.6,2.78,1
