disp,cyl,mpg,qsec,vs,am
160,6,21,16.46,0,1
160,6,21,17.02,0,1
108,4,22.8,18.61,1,1
258,6,21.4,19.44,1,0
360,8,18.7,17.02,0,0
225,6,18.1,20.22,1,0
360,8,14.3,15.84,0,0
146.7,4,24.4,20,1,0
140.8,4,22.8,22.9,1,0
167.6,6,19.2,18.3,1,0
167.6,6,17.8,18.9,1,0
275.8,8,16.4,17.4,0,0
275.8,8,17.3,17.6,0,0
275.8,8,15.2,18,0,0
472,8,10.4,17.98,0,0
460,8,10.4,17.82,0,0
440,8,14.7,17.42,0,0
78.7,4,32.4,19.47,1,1
75.7,4,30.4,18.52,1,1
71.1,4,33.9,19.9,1,1
120.1,4,21.5,20.01,1,0
318,8,15.5,16.87,0,0
304,8,15.2,17.3,0,0
350,8,13.3,15.41,0,0
400,8,19.2,17.05,0,0
79,4,27.3,18.9,1,1
120.3,4,26,16.7,0,1
95.1,4,30.4,16.9,1,1
351,8,15.8,14.5,0,1
145,6,19.7,15.5,0,1
301,8,15,14.6,0,1
121,4,21.4,18.6,1,1
