disp,gear,cyl,am,hp,wt
160,4,6,1,110,2.62
160,4,6,1,110,2.875
108,4,4,1,93,2.32
258,3,6,0,110,3.215
360,3,8,0,175,3.44
225,3,6,0,105,3.46
360,3,8,0,245,3.57
146.7,4,4,0,62,3.19
140.8,4,4,0,95,3.15
167.6,4,6,0,123,3.44
167.6,4,6,0,123,3.44
275.8,3,8,0,180,4.07
275.8,3,8,0,180,3.73
275.8,3,8,0,180,3.78
472,3,8,0,205,5.25
460,3,8,0,215,5.424
440,3,8,0,230,5.345
78.7,4,4,1,66,2.2
75.7,4,4,1,52,1.615
71.1,4,4,1,65,1.835
120.1,3,4,0,97,2.465
318,3,8,0,150,3.52
304,3,8,0,150,3.435
350,3,8,0,245,3.84
400,3,8,0,175,3.845
79,4,4,1,66,1.935
120.3,5,4,1,91,2.14
95.1,5,4,1,113,1.513
351,5,8,1,264,3.17
145,5,6,1,175,2.77
301,5,8,1,335,3.57
121,4,4,1,109,2.78
