carb,disp,drat,cyl,mpg,qsec
4,160,3.9,6,21,16.46
4,160,3.9,6,21,17.02
1,108,3.85,4,22.8,18.61
1,258,3.08,6,21.4,19.44
2,360,3.15,8,18.7,17.02
1,225,2.76,6,18.1,20.22
4,360,3.21,8,14.3,15.84
2,146.7,3.69,4,24.4,20
2,140.8,3.92,4,22.8,22.9
4,167.6,3.92,6,19.2,18.3
4,167.6,3.92,6,17.8,18.9
3,275.8,3.07,8,16.4,17.4
3,275.8,3.07,8,17.3,17.6
3,275.8,3.07,8,15.2,18
4,472,2.93,8,10.4,17.98
4,460,3,8,10.4,17.82
4,440,3.23,8,14.7,17.42
1,78.7,4.08,4,32.4,19.47
2,75.7,4.93,4,30.4,18.52
1,71.1,4.22,4,33.9,19.9
1,120.1,3.7,4,21.5,20.01
2,318,2.76,8,15.5,16.87
2,304,3.15,8,15.2,17.3
4,350,3.73,8,13.3,15.41
2,400,3.08,8,19.2,17.05
1,79,4.08,4,27.3,18.9
2,120.3,4.43,4,26,16.7
2,95.1,3.77,4,30.4,16.9
4,351,4.22,8,15.8,14.5
6,145,3.62,6,19.7,15.5
8,301,3.54,8,15,14.6
2,121,4.11,4,21.4,18.6
