wt,carb,am,hp,qsec,gear
2.62,4,1,110,16.46,4
2.875,4,1,110,17.02,4
2.32,1,1,93,18.61,4
3.215,1,0,110,19.44,3
3.44,2,0,175,17.02,3
3.46,1,0,105,20.22,3
3.57,4,0,245,15.84,3
3.19,2,0,62,20,4
3.15,2,0,95,22.9,4
3.44,4,0,123,18.3,4
3.44,4,0,123,18.9,4
4.07,3,0,180,17.4,3
3.73,3,0,180,17.6,3
3.78,3,0,180,18,3
5.25,4,0,205,17.98,3
5.424,4,0,215,17.82,3
5.345,4,0,230,17.42,3
2.2,1,1,66,19.47,4
1.615,2,1,52,18.52,4
1.835,1,1,65,19.9,4
2.465,1,0,97,20.01,3
3.52,2,0,150,16.87,3
3.435,2,0,150,17.3,3
3.84,4,0,245,15.41,3
3.845,2,0,175,17.05,3
1.935,1,1,66,18.9,4
2.14,2,1,91,16.7,5
1.513,2,1,113,16.9,5
3.17,4,1,264,14.5,5
2.77,6,1,175,15.5,5
3.57,8,1,335,14.6,5
2.78,2,1,109,18.6,4
