carb,vs,gear,am,disp,mpg
4,0,4,1,160,21
4,0,4,1,160,21
1,1,4,1,108,22.8
1,1,3,0,258,21.4
2,0,3,0,360,18.7
1,1,3,0,225,18.1
4,0,3,0,360,14.3
2,1,4,0,146.7,24.4
2,1,4,0,140.8,22.8
4,1,4,0,167.6,19.2
4,1,4,0,167.6,17.8
3,0,3,0,275.8,16.4
3,0,3,0,275.8,17.3
3,0,3,0,275.8,15.2
4,0,3,0,472,10.4
4,0,3,0,460,10.4
4,0,3,0,440,14.7
1,1,4,1,78.7,32.4
2,1,4,1,75.7,30.4
1,1,4,1,71.1,33.9
1,1,3,0,120.1,21.5
2,0,3,0,318,15.5
2,0,3,0,304,15.2
4,0,3,0,350,13.3
2,0,3,0,400,19.2
1,1,4,1,79,27.3
2,0,5,1,120.3,26
2,1,5,1,95.1,30.4
4,0,5,1,351,15.8
6,0,5,1,145,19.7
8,0,5,1,301,15
2,1,4,1,121,21.4
