hp,carb,wt,gear,vs,am
110,4,2.62,4,0,1
110,4,2.875,4,0,1
93,1,2.32,4,1,1
110,1,3.215,3,1,0
175,2,3.44,3,0,0
105,1,3.46,3,1,0
245,4,3.57,3,0,0
62,2,3.19,4,1,0
95,2,3.15,4,1,0
123,4,3.44,4,1,0
123,4,3.44,4,1,0
180,3,4.07,3,0,0
180,3,3.73,3,0,0
180,3,3.78,3,0,0
205,4,5.25,3,0,0
215,4,5.424,3,0,0
230,4,5.345,3,0,0
66,1,2.2,4,1,1
52,2,1.615,4,1,1
65,1,1.835,4,1,1
97,1,2.465,3,1,0
150,2,3.52,3,0,0
150,2,3.435,3,0,0
245,4,3.84,3,0,0
175,2,3.845,3,0,0
66,1,1.935,4,1,1
91,2,2.14,5,0,1
113,2,1.513,5,1,1
264,4,3.17,5,0,1
175,6,2.77,5,0,1
335,8,3.57,5,0,1
109,2,2.78,4,1,1
