vs,mpg,carb,disp,drat,qsec
0,21,4,160,3.9,16.46
0,21,4,160,3.9,17.02
1,22.8,1,108,3.85,18.61
1,21.4,1,258,3.08,19.44
0,18.7,2,360,3.15,17.02
1,18.1,1,225,2.76,20.22
0,14.3,4,360,3.21,15.84
1,24.4,2,146.7,3.69,20
1,22.8,2,140.8,3.92,22.9
1,19.2,4,167.6,3.92,18.3
1,17.8,4,167.6,3.92,18.9
0,16.4,3,275.8,3.07,17.4
0,17.3,3,275.8,3.07,17.6
0,15.2,3,275.8,3.07,18
0,10.4,4,472,2.93,17.98
0,10.4,4,460,3,17.82
0,14.7,4,440,3.23,17.42
1,32.4,1,78.7,4.08,19.47
1,30.4,2,75.7,4.93,18.52
1,33.9,1,71.1,4.22,19.9
1,21.5,1,120.1,3.7,20.01
0,15.5,2,318,2.76,16.87
0,15.2,2,304,3.15,17.3
0,13.3,4,350,3.73,15.41
0,19.2,2,400,3.08,17.05
1,27.3,1,79,4.08,18.9
0,26,2,120.3,4.43,16.7
1,30.4,2,95.1,3.77,16.9
0,15.8,4,351,4.22,14.5
0,19.7,6,145,3.62,15.5
0,15,8,301,3.54,14.6
1,21.4,2,121,4.11,18.6
