drat,disp,carb,am,wt,qsec
3.9,160,4,1,2.62,16.46
3.9,160,4,1,2.875,17.02
3.85,108,1,1,2.32,18.61
3.08,258,1,0,3.215,19.44
3.15,360,2,0,3.44,17.02
2.76,225,1,0,3.46,20.22
3.21,360,4,0,3.57,15.84
3.69,146.7,2,0,3.19,20
3.92,140.8,2,0,3.15,22.9
3.92,167.6,4,0,3.44,18.3
3.92,167.6,4,0,3.44,18.9
3.07,275.8,3,0,4.07,17.4
3.07,275.8,3,0,3.73,17.6
3.07,275.8,3,0,3.78,18
2.93,472,4,0,5.25,17.98
3,460,4,0,5.424,17.82
3.23,440,4,0,5.345,17.42
4.08,78.7,1,1,2.2,19.47
4.93,75.7,2,1,1.615,18.52
4.22,71.1,1,1,1.835,19.9
3.7,120.1,1,0,2.465,20.01
2.76,318,2,0,3.52,16.87
3.15,304,2,0,3.435,17.3
3.73,350,4,0,3.84,15.41
3.08,400,2,0,3.845,17.05
4.08,79,1,1,1.935,18.9
4.43,120.3,2,1,2.14,16.7
3.77,95.1,2,1,1.513,16.9
4.22,351,4,1,3.17,14.5
3.62,145,6,1,2.77,15.5
3.54,301,8,1,3.57,14.6
4.11,121,2,1,2.78,18.6
