cyl,wt,carb,disp,am,qsec
6,2.62,4,160,1,16.46
6,2.875,4,160,1,17.02
4,2.32,1,108,1,18.61
6,3.215,1,258,0,19.44
8,3.44,2,360,0,17.02
6,3.46,1,225,0,20.22
8,3.57,4,360,0,15.84
4,3.19,2,146.7,0,20
4,3.15,2,140.8,0,22.9
6,3.44,4,167.6,0,18.3
6,3.44,4,167.6,0,18.9
8,4.07,3,275.8,0,17.4
8,3.73,3,275.8,0,17.6
8,3.78,3,275.8,0,18
8,5.25,4,472,0,17.98
8,5.424,4,460,0,17.82
8,5.345,4,440,0,17.42
4,2.2,1,78.7,1,19.47
4,1.615,2,75.7,1,18.52
4,1.835,1,71.1,1,19.9
4,2.465,1,120.1,0,20.01
8,3.52,2,318,0,16.87
8,3.435,2,304,0,17.3
8,3.84,4,350,0,15.41
8,3.845,2,400,0,17.05
4,1.935,1,79,1,18.9
4,2.14,2,120.3,1,16.7
4,1.513,2,95.1,1,16.9
8,3.17,4,351,1,14.5
6,2.77,6,145,1,15.5
8,3.57,8,301,1,14.6
4,2.78,2,121,1,18.6
