gear,qsec,hp,carb,disp,wt
4,16.46,110,4,160,2.62
4,17.02,110,4,160,2.875
4,18.61,93,1,108,2.32
3,19.44,110,1,258,3.215
3,17.02,175,2,360,3.44
3,20.22,105,1,225,3.46
3,15.84,245,4,360,3.57
4,20,62,2,146.7,3.19
4,22.9,95,2,140.8,3.15
4,18.3,123,4,167.6,3.44
4,18.9,123,4,167.6,3.44
3,17.4,180,3,275.8,4.07
3,17.6,180,3,275.8,3.73
3,18,180,3,275.8,3.78
3,17.98,205,4,472,5.25
3,17.82,215,4,460,5.424
3,17.42,230,4,440,5.345
4,19.47,66,1,78.7,2.2
4,18.52,52,2,75.7,1.615
4,19.9,65,1,71.1,1.835
3,20.01,97,1,120.1,2.465
3,16.87,150,2,318,3.52
3,17.3,150,2,304,3.435
3,15.41,245,4,350,3.84
3,17.05,175,2,400,3.845
4,18.9,66,1,79,1.935
5,16.7,91,2,120.3,2.14
5,16.9,113,2,95.1,1.513
5,14.5,264,4,351,3.17
5,15.5,175,6,145,2.77
5,14.6,335,8,301,3.57
4,18.6,109,2,121,2.78
