am,vs,carb,gear,drat,disp
1,0,4,4,3.9,160
1,0,4,4,3.9,160
1,1,1,4,3.85,108
0,1,1,3,3.08,258
0,0,2,3,3.15,360
0,1,1,3,2.76,225
0,0,4,3,3.21,360
0,1,2,4,3.69,146.7
0,1,2,4,3.92,140.8
0,1,4,4,3.92,167.6
0,1,4,4,3.92,167.6
0,0,3,3,3.07,275.8
0,0,3,3,3.07,275.8
0,0,3,3,3.07,275.8
0,0,4,3,2.93,472
0,0,4,3,3,460
0,0,4,3,3.23,440
1,1,1,4,4.08,78.7
1,1,2,4,4.93,75.7
1,1,1,4,4.22,71.1
0,1,1,3,3.7,120.1
0,0,2,3,2.76,318
0,0,2,3,3.15,304
0,0,4,3,3.73,350
0,0,2,3,3.08,400
1,1,1,4,4.08,79
1,0,2,5,4.43,120.3
1,1,2,5,3.77,95.1
1,0,4,5,4.22,351
1,0,6,5,3.62,145
1,0,8,5,3.54,301
1,1,2,4,4.11,121
