gear,carb,am,drat,disp,wt
4,4,1,3.9,160,2.62
4,4,1,3.9,160,2.875
4,1,1,3.85,108,2.32
3,1,0,3.08,258,3.215
3,2,0,3.15,360,3.44
3,1,0,2.76,225,3.46
3,4,0,3.21,360,3.57
4,2,0,3.69,146.7,3.19
4,2,0,3.92,140.8,3.15
4,4,0,3.92,167.6,3.44
4,4,0,3.92,167.6,3.44
3,3,0,3.07,275.8,4.07
3,3,0,3.07,275.8,3.73
3,3,0,3.07,275.8,3.78
3,4,0,2.93,472,5.25
3,4,0,3,460,5.424
3,4,0,3.23,440,5.345
4,1,1,4.08,78.7,2.2
4,2,1,4.93,75.7,1.615
4,1,1,4.22,71.1,1.835
3,1,0,3.7,120.1,2.465
3,2,0,2.76,318,3.52
3,2,0,3.15,304,3.435
3,4,0,3.73,350,3.84
3,2,0,3.08,400,3.845
4,1,1,4.08,79,1.935
5,2,1,4.43,120.3,2.14
5,2,1,3.77,95.1,1.513
5,4,1,4.22,351,3.17
5,6,1,3.62,145,2.77
5,8,1,3.54,301,3.57
4,2,1,4.11,121,2.78
