wt,cyl,mpg,drat,vs,carb
2.62,6,21,3.9,0,4
2.875,6,21,3.9,0,4
2.32,4,22.8,3.85,1,1
3.215,6,21.4,3.08,1,1
3.44,8,18.7,3.15,0,2
3.46,6,18.1,2.76,1,1
3.57,8,14.3,3.21,0,4
3.19,4,24.4,3.69,1,2
3.15,4,22.8,3.92,1,2
3.44,6,19.2,3.92,1,4
3.44,6,17.8,3.92,1,4
4.07,8,16.4,3.07,0,3
3.73,8,17.3,3.07,0,3
3.78,8,15.2,3.07,0,3
5.25,8,10.4,2.93,0,4
5.424,8,10.4,3,0,4
5.345,8,14.7,3.23,0,4
2.2,4,32.4,4.08,1,1
1.615,4,30.4,4.93,1,2
1.835,4,33.9,4.22,1,1
2.465,4,21.5,3.7,1,1
3.52,8,15.5,2.76,0,2
3.435,8,15.2,3.15,0,2
3.84,8,13.3,3.73,0,4
3.845,8,19.2,3.08,0,2
1.935,4,27.3,4.08,1,1
2.14,4,26,4.43,0,2
1.513,4,30.4,3.77,1,2
3.17,8,15.8,4.22,0,4
2.77,6,19.7,3.62,0,6
3.57,8,15,3.54,0,8
2.78,4,21.4,4.11,1,2
