gear,wt,disp,drat,cyl,am
4,2.62,160,3.9,6,1
4,2.875,160,3.9,6,1
4,2.32,108,3.85,4,1
3,3.215,258,3.08,6,0
3,3.44,360,3.15,8,0
3,3.46,225,2.76,6,0
3,3.57,360,3.21,8,0
4,3.19,146.7,3.69,4,0
4,3.15,140.8,3.92,4,0
4,3.44,167.6,3.92,6,0
4,3.44,167.6,3.92,6,0
3,4.07,275.8,3.07,8,0
3,3.73,275.8,3.07,8,0
3,3.78,275.8,3.07,8,0
3,5.25,472,2.93,8,0
3,5.424,460,3,8,0
3,5.345,440,3.23,8,0
4,2.2,78.7,4.08,4,1
4,1.615,75.7,4.93,4,1
4,1.835,71.1,4.22,4,1
3,2.465,120.1,3.7,4,0
3,3.52,318,2.76,8,0
3,3.435,304,3.15,8,0
3,3.84,350,3.73,8,0
3,3.845,400,3.08,8,0
4,1.935,79,4.08,4,1
5,2.14,120.3,4.43,4,1
5,1.513,95.1,3.77,4,1
5,3.17,351,4.22,8,1
5,2.77,145,3.62,6,1
5,3.57,301,3.54,8,1
4,2.78,121,4.11,4,1
