mpg,gear,vs,carb,am,hp
21,4,0,4,1,110
21,4,0,4,1,110
22.8,4,1,1,1,93
21.4,3,1,1,0,110
18.7,3,0,2,0,175
18.1,3,1,1,0,105
14.3,3,0,4,0,245
24.4,4,1,2,0,62
22.8,4,1,2,0,95
19.2,4,1,4,0,123
17.8,4,1,4,0,123
16.4,3,0,3,0,180
17.3,3,0,3,0,180
15.2,3,0,3,0,180
10.4,3,0,4,0,205
10.4,3,0,4,0,215
14.7,3,0,4,0,230
32.4,4,1,1,1,66
30.4,4,1,2,1,52
33.9,4,1,1,1,65
21.5,3,1,1,0,97
15.5,3,0,2,0,150
15.2,3,0,2,0,150
13.3,3,0,4,0,245
19.2,3,0,2,0,175
27.3,4,1,1,1,66
26,5,0,2,1,91
30.4,5,1,2,1,113
15.8,5,0,4,1,264
19.7,5,0,6,1,175
15,5,0,8,1,335
21.4,4,1,2,1,109
