mpg,cyl,gear,qsec,hp,am
21,6,4,16.46,110,1
21,6,4,17.02,110,1
22.8,4,4,18.61,93,1
21.4,6,3,19.44,110,0
18.7,8,3,17.02,175,0
18.1,6,3,20.22,105,0
14.3,8,3,15.84,245,0
24.4,4,4,20,62,0
22.8,4,4,22.9,95,0
19.2,6,4,18.3,123,0
17.8,6,4,18.9,123,0
16.4,8,3,17.4,180,0
17.3,8,3,17.6,180,0
15.2,8,3,18,180,0
10.4,8,3,17.98,205,0
10.4,8,3,17.82,215,0
14.7,8,3,17.42,230,0
32.4,4,4,19.47,66,1
30.4,4,4,18.52,52,1
33.9,4,4,19.9,65,1
21.5,4,3,20.01,97,0
15.5,8,3,16.87,150,0
15.2,8,3,17.3,150,0
13.3,8,3,15.41,245,0
19.2,8,3,17.05,175,0
27.3,4,4,18.9,66,1
26,4,5,16.7,91,1
30.4,4,5,16.9,113,1
15.8,8,5,14.5,264,1
19.7,6,5,15.5,175,1
15,8,5,14.6,335,1
21.4,4,4,18.6,109,1
