cyl,carb,mpg,vs,wt,gear
6,4,21,0,2.62,4
6,4,21,0,2.875,4
4,1,22.8,1,2.32,4
6,1,21.4,1,3.215,3
8,2,18.7,0,3.44,3
6,1,18.1,1,3.46,3
8,4,14.3,0,3.57,3
4,2,24.4,1,3.19,4
4,2,22.8,1,3.15,4
6,4,19.2,1,3.44,4
6,4,17.8,1,3.44,4
8,3,16.4,0,4.07,3
8,3,17.3,0,3.73,3
8,3,15.2,0,3.78,3
8,4,10.4,0,5.25,3
8,4,10.4,0,5.424,3
8,4,14.7,0,5.345,3
4,1,32.4,1,2.2,4
4,2,30.4,1,1.615,4
4,1,33.9,1,1.835,4
4,1,21.5,1,2.465,3
8,2,15.5,0,3.52,3
8,2,15.2,0,3.435,3
8,4,13.3,0,3.84,3
8,2,19.2,0,3.845,3
4,1,27.3,1,1.935,4
4,2,26,0,2.14,5
4,2,30.4,1,1.513,5
8,4,15.8,0,3.17,5
6,6,19.7,0,2.77,5
8,8,15,0,3.57,5
4,2,21.4,1,2.78,4
