qsec,gear,disp,cyl,vs,drat
16.46,4,160,6,0,3.9
17.02,4,160,6,0,3.9
18.61,4,108,4,1,3.85
19.44,3,258,6,1,3.08
17.02,3,360,8,0,3.15
20.22,3,225,6,1,2.76
15.84,3,360,8,0,3.21
20,4,146.7,4,1,3.69
22.9,4,140.8,4,1,3.92
18.3,4,167.6,6,1,3.92
18.9,4,167.6,6,1,3.92
17.4,3,275.8,8,0,3.07
17.6,3,275.8,8,0,3.07
18,3,275.8,8,0,3.07
17.98,3,472,8,0,2.93
17.82,3,460,8,0,3
17.42,3,440,8,0,3.23
19.47,4,78.7,4,1,4.08
18.52,4,75.7,4,1,4.93
19.9,4,71.1,4,1,4.22
20.01,3,120.1,4,1,3.7
16.87,3,318,8,0,2.76
17.3,3,304,8,0,3.15
15.41,3,350,8,0,3.73
17.05,3,400,8,0,3.08
18.9,4,79,4,1,4.08
16.7,5,120.3,4,0,4.43
16.9,5,95.1,4,1,3.77
14.5,5,351,8,0,4.22
15.5,5,145,6,0,3.62
14.6,5,301,8,0,3.54
18.6,4,121,4,1,4.11
