cyl,wt,gear,qsec,mpg,vs
6,2.62,4,16.46,21,0
6,2.875,4,17.02,21,0
4,2.32,4,18.61,22.8,1
6,3.215,3,19.44,21.4,1
8,3.44,3,17.02,18.7,0
6,3.46,3,20.22,18.1,1
8,3.57,3,15.84,14.3,0
4,3.19,4,20,24.4,1
4,3.15,4,22.9,22.8,1
6,3.44,4,18.3,19.2,1
6,3.44,4,18.9,17.8,1
8,4.07,3,17.4,16.4,0
8,3.73,3,17.6,17.3,0
8,3.78,3,18,15.2,0
8,5.25,3,17.98,10.4,0
8,5.424,3,17.82,10.4,0
8,5.345,3,17.42,14.7,0
4,2.2,4,19.47,32.4,1
4,1.615,4,18.52,30.4,1
4,1.835,4,19.9,33.9,1
4,2.465,3,20.01,21.5,1
8,3.52,3,16.87,15.5,0
8,3.435,3,17.3,15.2,0
8,3.84,3,15.41,13.3,0
8,3.845,3,17.05,19.2,0
4,1.935,4,18.9,27.3,1
4,2.14,5,16.7,26,0
4,1.513,5,16.9,30.4,1
8,3.17,5,14.5,15.8,0
6,2.77,5,15.5,19.7,0
8,3.57,5,14.6,15,0
4,2.78,4,18.6,21.4,1
