vs,carb,hp,drat,am,disp
0,4,110,3.9,1,160
0,4,110,3.9,1,160
1,1,93,3.85,1,108
1,1,110,3.08,0,258
0,2,175,3.15,0,360
1,1,105,2.76,0,225
0,4,245,3.21,0,360
1,2,62,3.69,0,146.7
1,2,95,3.92,0,140.8
1,4,123,3.92,0,167.6
1,4,123,3.92,0,167.6
0,3,180,3.07,0,275.8
0,3,180,3.07,0,275.8
0,3,180,3.07,0,275.8
0,4,205,2.93,0,472
0,4,215,3,0,460
0,4,230,3.23,0,440
1,1,66,4.08,1,78.7
1,2,52,4.93,1,75.7
1,1,65,4.22,1,71.1
1,1,97,3.7,0,120.1
0,2,150,2.76,0,318
0,2,150,3.15,0,304
0,4,245,3.73,0,350
0,2,175,3.08,0,400
1,1,66,4.08,1,79
0,2,91,4.43,1,120.3
1,2,113,3.77,1,95.1
0,4,264,4.22,1,351
0,6,175,3.62,1,145
0,8,335,3.54,1,301
1,2,109,4.11,1,121
