disp,qsec,am,wt,cyl,carb
160,16.46,1,2.62,6,4
160,17.02,1,2.875,6,4
108,18.61,1,2.32,4,1
258,19.44,0,3.215,6,1
360,17.02,0,3.44,8,2
225,20.22,0,3.46,6,1
360,15.84,0,3.57,8,4
146.7,20,0,3.19,4,2
140.8,22.9,0,3.15,4,2
167.6,18.3,0,3.44,6,4
167.6,18.9,0,3.44,6,4
275.8,17.4,0,4.07,8,3
275.8,17.6,0,3.73,8,3
275.8,18,0,3.78,8,3
472,17.98,0,5.25,8,4
460,17.82,0,5.424,8,4
440,17.42,0,5.345,8,4
78.7,19.47,1,2.2,4,1
75.7,18.52,1,1.615,4,2
71.1,19.9,1,1.835,4,1
120.1,20.01,0,2.465,4,1
318,16.87,0,3.52,8,2
304,17.3,0,3.435,8,2
350,15.41,0,3.84,8,4
400,17.05,0,3.845,8,2
79,18.9,1,1.935,4,1
120.3,16.7,1,2.14,4,2
95.1,16.9,1,1.513,4,2
351,14.5,1,3.17,8,4
145,15.5,1,2.77,6,6
301,14.6,1,3.57,8,8
121,18.6,1,2.78,4,2
